Date,1. Total cases,2. Total suspected cases,3. Total probable cases,4.Total confirmed cases
2-Aug-14,471,107,232,132
3-Aug-14,498,111,249,132
4-Aug-14,508,121,250,137
5-Aug-14,525,127,261,137
6-Aug-14,546,132,272,142
7-Aug-14,579,135,295,149
8-Aug-14,591,138,304,149
9-Aug-14,591,135,304,152
10-Aug-14,605,145,305,155
11-Aug-14,662,146,356,160
12-Aug-14,721,155,390,176
13-Aug-14,778,173,421,184
14-Aug-14,810,182,441,187
15-Aug-14,826,190,442,194
16-Aug-14,838,198,446,194
17-Aug-14,862,212,442,208
18-Aug-14,964,228,500,236
19-Aug-14,1024,241,539,244
20-Aug-14,1074,259,552,263
Grand Total,13473,3135,7001,3331
