Date,"1. Total deaths in confirmed, probable and suspected cases",2. Total deaths in suspected cases,3. Total deaths in probable cases,4. Total deaths in confirmed cases
2-Aug-14,257,40,99,118
3-Aug-14,264,41,102,121
4-Aug-14,271,41,108,122
5-Aug-14,276,42,109,125
6-Aug-14,283,42,115,126
7-Aug-14,295,42,119,134
8-Aug-14,303,45,122,136
9-Aug-14,312,49,123,140
10-Aug-14,326,50,133,143
11-Aug-14,344,50,151,143
12-Aug-14,365,55,163,147
13-Aug-14,402,66,188,148
14-Aug-14,435,79,192,164
15-Aug-14,455,83,200,172
16-Aug-14,470,90,203,177
17-Aug-14,481,97,204,180
18-Aug-14,565,122,237,206
19-Aug-14,587,126,250,211
20-Aug-14,613,132,265,216
Grand Total,7304,1292,3083,2929
