,New Case/s (Suspected),New Case/s (Probable),New case/s (confirmed) ,Total suspected cases,Total probable cases,Total confirmed cases,Total Number of Confirmed Cases of Sierra Leonean Nationality,Total Number of Confirmed Cases of Guinean Nationality,"Cumulative (confirmed, probable, suspected) cases",
National,10,44,1,446,749,347,13,1,1542,
Bomi County,0,6,0,1,30,21,0,0,52,
Bong County,1,1,0,77,33,20,0,0,130,
Gbarpolu County,1,0,0,1,0,0,0,0,1,
Grand Bassa,0,0,0,18,11,11,0,0,40,
Grand Cape Mount,0,1,0,1,4,4,2,0,9,
Grand Gedeh,1,0,0,3,0,0,0,0,3,
Grand Kru,0,0,0,0,0,0,0,0,0,
Lofa County,0,14,0,63,319,189,11,0,571,
Margibi County,0,0,0,98,58,27,0,0,183,
Maryland County,0,0,0,0,0,0,0,0,0,
Montserrado County,7,9,0,163,236,44,0,1,443,
Nimba County,0,13,1,15,58,29,0,0,102,
River Gee County,0,0,0,5,0,0,0,0,5,
RiverCess County,0,0,0,0,0,1,0,0,1,
Sinoe County,0,0,0,1,0,1,0,0,2,
