,Newly reported deaths 27th Aug 2014,Total death/s in confirmed cases,Total death/s in probable cases,Total death/s in suspected cases,"Total death/s in confirmed, probable, suspected cases",Case Fatality Rate (CFR) - Confirmed & Probable Cases
National,22,318,334,203,855,0.0
Bomi County,3,19,13,0,32,0.0
Bong County,1,11,13,17,41,0.0
Gbarpolu County,0,0,0,0,0,0.0
Grand Bassa,0,6,3,3,12,0.0
Grand Cape Mount,0,4,1,2,7,0.0
Grand Gedeh,1,0,0,2,2,0.0
Grand Kru,0,0,0,0,0,0.0
Lofa County,6,129,121,34,284,0.0
Margibi County,0,23,40,30,93,0.0
Maryland County,0,0,0,0,0,0.0
Montserrado County,8,103,114,104,321,0.0
Nimba County,3,23,28,6,57,0.0
River Gee County,0,0,0,5,5,0.0
RiverCess County,0,0,1,0,1,0.0
Sinoe County,0,0,0,0,0,0.0
